audio_hidden,video_hidden,text_hidden,audio_dropout,video_dropout,text_dropout,factor_learning_rate,learning_rate,rank,batch_size,weight_decay,Best Validation MAE,Test MAE,Test Corr,Test multiclass accuracy,Test binary accuracy,Test f1_score
4,16,256,0.3,0,0.15,0.001,0.003,4,8,0.01,1.0432773,1.0432771,0.59653,0.27988,0.7478134110787172,0.7443401265766497
8,4,128,0.1,0.5,0.3,0.003,0.003,4,8,0,0.9241186,0.9241185,0.67647,0.34257,0.782798833819242,0.7820885612425272
8,16,64,0.5,0.2,0.15,0.0005,0.003,8,32,0,0.9916484,0.9916483,0.62894,0.31195,0.7551020408163265,0.753180645298872
4,4,128,0.1,0.15,0.5,0.001,0.0005,1,8,0,1.0119658,1.0119658,0.62204,0.28717,0.7580174927113703,0.7558113952089569
8,16,256,0.2,0.1,0.15,0.003,0.0003,1,4,0,0.9597362,0.95973617,0.66461,0.31341,0.782798833819242,0.7816567529973881
16,8,128,0,0.5,0,0.001,0.001,16,64,0.002,0.9757159,0.97571576,0.65812,0.31341,0.7594752186588921,0.7592759317699669
16,4,64,0.5,0,0.5,0.0005,0.0005,8,32,0.002,1.0749553,1.0749552,0.5669,0.28571,0.7215743440233237,0.7194751147465434
8,16,256,0.15,0.5,0.2,0.0003,0.001,4,8,0.01,1.0620731,1.0620731,0.58527,0.26239,0.750728862973761,0.7462636267670035
4,4,256,0.5,0.5,0.1,0.003,0.003,1,16,0.01,1.4173713,1.4173713,0.12698,0.15452,0.44752186588921283,0.27671543369181945
4,16,256,0.15,0.3,0.5,0.0003,0.003,4,8,0.002,0.9378239,0.93782383,0.6755,0.34257,0.782798833819242,0.7824576103120803
8,8,64,0.5,0,0,0.001,0.0003,4,4,0.01,1.0440803,1.0440801,0.60384,0.28134,0.7667638483965015,0.7657192963315412
4,8,128,0.15,0.1,0.1,0.003,0.0003,16,128,0.002,1.0516689,1.0516689,0.59339,0.28717,0.7463556851311953,0.744953739513298
16,4,128,0,0,0.15,0.003,0.001,4,8,0.001,0.92941815,0.9294181,0.68449,0.3105,0.7813411078717201,0.7796255761597072
8,16,128,0,0.15,0.5,0.0003,0.0005,4,16,0,1.0339234,1.0339234,0.60246,0.293,0.7448979591836735,0.7448579338885642
8,8,64,0.3,0,0.15,0.003,0.0005,4,8,0.001,0.9815601,0.9815601,0.63852,0.32799,0.739067055393586,0.738444809064424
8,4,64,0.15,0.1,0.2,0.003,0.003,1,4,0,0.93024164,0.9302415,0.685,0.34257,0.7886297376093294,0.7885274552970178
8,4,128,0.1,0.15,0.3,0.001,0.0003,16,8,0,0.99020004,0.99020004,0.63584,0.29592,0.7536443148688047,0.7526027827167152
4,16,256,0.5,0.3,0,0.001,0.0003,16,32,0.002,0.9976577,0.9976577,0.63701,0.30466,0.7521865889212828,0.751542445253453
8,16,128,0.5,0.1,0.2,0.003,0.0003,16,16,0.01,1.0174694,1.0174694,0.62043,0.30904,0.7565597667638484,0.7556493308851393
4,8,64,0,0.5,0,0.001,0.003,8,8,0.01,1.0247647,1.0247647,0.60438,0.29738,0.7536443148688047,0.7524781082136818
16,4,256,0.15,0.2,0.5,0.0005,0.0005,8,16,0,0.9762937,0.9762936,0.64632,0.30466,0.7551020408163265,0.7541269682290614
8,8,128,0.3,0.5,0.3,0.0003,0.0003,1,64,0.002,1.0518234,1.0518233,0.59626,0.27114,0.7303206997084548,0.7298970329378178
4,8,256,0,0.3,0.15,0.0005,0.003,1,128,0.001,0.97003657,0.97003657,0.64742,0.34548,0.7434402332361516,0.7433585965714608
4,4,128,0,0,0.1,0.003,0.001,16,64,0,0.98668903,0.986689,0.64418,0.30758,0.7725947521865889,0.7695507857962771
4,16,64,0.15,0.1,0.5,0.001,0.0003,4,8,0.002,1.0260823,1.0260823,0.62496,0.27988,0.7594752186588921,0.7583366145281509
